=========================================
BRANDS SUMMARY
=========================================
 Brand Name  |    Slug     | Product Count |         Created         
-------------+-------------+---------------+-------------------------
 BlazingStar | blazingstar |            37 | 2025-11-17 13:08:52.689
 Bold Berry  | bold-berry  |             9 | 2025-11-17 13:08:52.785
 CND         | cnd         |             0 | 2025-12-02 12:46:22.057
 DND         | dnd         |             0 | 2025-12-02 12:46:22.057
 KDS         | kds         |             6 | 2025-11-17 13:08:52.838
 La Palm     | lapalm      |            18 | 2025-11-17 13:32:47.561
 MBerry      | mberry      |             5 | 2025-11-17 13:22:22.986
 OPI         | opi         |             0 | 2025-12-02 12:46:22.057
 VL London   | vl-london   |             9 | 2025-12-02 12:37:10.86
(9 rows)


=========================================
PRODUCTS BY BRAND
=========================================
    Brand    |   Product Code   |                     Product Name                     | Active | Versions 
 MBerry      | product-406      | MBerry - Gel Polish - Bảng Màu Mùa Thu               | t      |        1
 VL London   | product-366      | Tay bào X5 Plus                                      | t      |        1
 VL London   | product-366-1    | Tay bào X7 Plus                                      | t      |        1
 VL London   | product-372      | Ghế Thợ                                              | t      |        1
 VL London   | product-377      | Ghế Khách                                            | t      |        1
 VL London   | product-378      | Ghế Khách Bendi                                      | t      |        1
 VL London   | product-381      | Ghế Pedicure Tự Động / Không Tự Động Ngắt Nước       | t      |        1
 VL London   | product-382      | Ghế New Space VL958                                  | t      |        1
 VL London   | product-384      | Ghế Luxury VL9615                                    | t      |        1
 VL London   | product-392      | SỰ KIỆN HOT NHẤT LUÂN-ĐÔN 2025                       | t      |        1
(84 rows)


=========================================
TOTAL STATISTICS
=========================================
 Total Brands | Total Products | Total Versions | Total Images | Total Content Items | Total Properties | Total Pricing Entries 
--------------+----------------+----------------+--------------+---------------------+------------------+-----------------------
            9 |             84 |             84 |          252 |                 109 |              505 |                   245
(1 row)

