ID,Product Name,Category,Discount %,Promotion Text,Images (JSON)
product-261,Tip Gel Stilletto - CLEAR - Pack 10,NAIL TIP,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-263,Tip Gel Stilletto - CLEAR - Pack 100,NAIL TIP,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-259,Tip Gel Straight - CLEAR - Box 550 pcs,NAIL TIP,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-260,Tip Gel Straight - CLEAR - Pack 100,NAIL TIP,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-258,Tip Gel Straight - CLEAR - Tip Gel Straight - CLEAR,NAIL TIP,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-250,Tip Nhọn Stilletto - NATURAL,NAIL TIP,0,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-254,Tip Thẳng Coffin - NATURAL,NAIL TIP,0,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-243,Tip Thẳng Straight Tip - NATURAL,NAIL TIP,0,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-247,Tip Thường Curve Tip - NATURAL,NAIL TIP,0,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-275,BlazingStar Liquid Coffee Purple/Clear - LIQUID THƯỜNG MÙI COFFEE,ACRYLIC LIQUID,10,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
