CATEGORIES,Product Name,Packing Size,Org Price,Sale Price,10% TOTAL BILL,CANH CUT SALE,Thi,Thanh,PER UNIT FINAL,,
SƠN GEL POLISH,BB Gel Polish 15ml,Set 433 + Set 36 Reflective (BẢNG 12) = SET 469,"£2,417.00","£1,933.60","£1,740.24",GIẢM 20% TỪ GIÁ ORIGINAL,TRUE,FALSE,£3.71,,
SƠN GEL POLISH,BB Gel Polish 15ml JELLY,Lẻ,£5.00,£5.00,£4.50,SL <12 CHAI,TRUE,FALSE,,,
SƠN GEL POLISH,BB Gel Polish 15ml JELLY,Lẻ,£5.00,£4.50,£4.05,SL >= 12 GIẢM THÊM 10% MIX & MATCH,TRUE,FALSE,£4.05,,
SƠN GEL POLISH,BB Gel Polish 15ml JELLY,Box 6pcs,£27.00,£27.00,£24.30,,FALSE,FALSE,£4.05,,
SƠN GEL POLISH,BB Gel Polish 15ml JELLY,Set 12 màu,£60.00,£54.00,£48.60,GIẢM 10% TỪ GIÁ ORIGINAL,TRUE,FALSE,£4.05,,
SƠN GEL POLISH,BB Gel Polish Reflective 15ml,Lẻ,£7.00,£6.30,£5.67,GIẢM 10% TỪ GIÁ ORIGINAL,TRUE,FALSE,£5.67,,
SƠN GEL POLISH,BB Gel Polish Reflective 15ml,Set 36 BẢNG SỐ 12,£252.00,£201.60,£181.44,GIẢM 20% TỪ GIÁ ORIGINAL,TRUE,FALSE,£5.04,,
SƠN GEL POLISH,BS Gel Polish / Gel Top Original/Durashine/Sunshield / Gel Base Original / Gel Base Express 15ml,Lẻ,£9.00,£6.00,£5.40,ĐỀU GIÁ £6/CHAI - SL <12,TRUE,FALSE,,,
SƠN GEL POLISH,BS Gel Polish / Gel Top Original/Durashine/Sunshield / Gel Base Original / Gel Base Express 15ml,Lẻ,£9.00,£5.40,£4.86,ĐỀU GIÁ £6/CHAI - SL >=12 GIẢM THÊM 10% MIX & MATCH,TRUE,FALSE,£4.86,,
SƠN GEL POLISH,BS Gel Polish / Gel Top Original/Durashine/Sunshield / Gel Base Original / Gel Base Express 15ml,Box - 6 Chai cùng 1 màu,£32.40,£32.40,£29.16,,FALSE,FALSE,£4.86,,
